Freq (Hz)	Coh_micro/hp
49.000000000000007E+0	999.999999999999670E-3
50.000000000000007E+0	999.999999999999780E-3
51.000000000000007E+0	1.000000000000000E+0
52.000000000000007E+0	1.000000000000000E+0
53.000000000000007E+0	1.000000000000000E+0
54.000000000000007E+0	999.999999999999670E-3
55.000000000000007E+0	999.999999999999780E-3
56.000000000000007E+0	1.000000000000000E+0
57.000000000000007E+0	999.999999999999780E-3
58.000000000000007E+0	1.000000000000000E+0
59.000000000000007E+0	999.999999999999780E-3
60.000000000000007E+0	999.999999999999780E-3
61.000000000000007E+0	1.000000000000000E+0
62.000000000000007E+0	999.999999999999780E-3
63.000000000000007E+0	999.999999999999780E-3
64.000000000000014E+0	999.999999999999670E-3
65.000000000000014E+0	999.999999999999780E-3
66.000000000000014E+0	1.000000000000000E+0
67.000000000000014E+0	1.000000000000000E+0
68.000000000000014E+0	1.000000000000000E+0
69.000000000000014E+0	999.999999999999890E-3
70.000000000000014E+0	1.000000000000000E+0
71.000000000000014E+0	1.000000000000000E+0
72.000000000000014E+0	1.000000000000000E+0
73.000000000000014E+0	1.000000000000000E+0
74.000000000000014E+0	1.000000000000000E+0
75.000000000000014E+0	1.000000000000000E+0
76.000000000000014E+0	1.000000000000000E+0
77.000000000000014E+0	999.999999999999890E-3
78.000000000000014E+0	1.000000000000000E+0
79.000000000000014E+0	1.000000000000001E+0
80.000000000000014E+0	1.000000000000000E+0
81.000000000000014E+0	999.999999999999440E-3
82.000000000000014E+0	1.000000000000000E+0
83.000000000000014E+0	1.000000000000000E+0
84.000000000000014E+0	1.000000000000000E+0
85.000000000000014E+0	1.000000000000000E+0
86.000000000000014E+0	999.999999999999440E-3
87.000000000000014E+0	1.000000000000000E+0
88.000000000000014E+0	1.000000000000000E+0
89.000000000000014E+0	1.000000000000000E+0
90.000000000000014E+0	1.000000000000000E+0
91.000000000000014E+0	999.999999999999780E-3
92.000000000000014E+0	1.000000000000000E+0
93.000000000000014E+0	1.000000000000000E+0
94.000000000000014E+0	1.000000000000000E+0
95.000000000000014E+0	1.000000000000000E+0
96.000000000000014E+0	1.000000000000000E+0
97.000000000000014E+0	1.000000000000000E+0
98.000000000000014E+0	1.000000000000000E+0
99.000000000000014E+0	999.999999999999560E-3
