Freq (Hz)	Coh_micro/hp
49.000000000000007E+0	999.999999999999780E-3
50.000000000000007E+0	1.000000000000000E+0
51.000000000000007E+0	999.999999999999890E-3
52.000000000000007E+0	999.999999999999670E-3
53.000000000000007E+0	999.999999999999780E-3
54.000000000000007E+0	1.000000000000000E+0
55.000000000000007E+0	999.999999999999890E-3
56.000000000000007E+0	1.000000000000000E+0
57.000000000000007E+0	1.000000000000001E+0
58.000000000000007E+0	1.000000000000000E+0
59.000000000000007E+0	999.999999999999780E-3
60.000000000000007E+0	999.999999999999780E-3
61.000000000000007E+0	999.999999999999890E-3
62.000000000000007E+0	1.000000000000000E+0
63.000000000000007E+0	1.000000000000000E+0
64.000000000000014E+0	1.000000000000000E+0
65.000000000000014E+0	1.000000000000000E+0
66.000000000000014E+0	1.000000000000000E+0
67.000000000000014E+0	1.000000000000000E+0
68.000000000000014E+0	1.000000000000000E+0
69.000000000000014E+0	999.999999999999560E-3
70.000000000000014E+0	1.000000000000000E+0
71.000000000000014E+0	999.999999999999780E-3
72.000000000000014E+0	1.000000000000000E+0
73.000000000000014E+0	999.999999999999670E-3
74.000000000000014E+0	1.000000000000000E+0
75.000000000000014E+0	1.000000000000000E+0
76.000000000000014E+0	1.000000000000000E+0
77.000000000000014E+0	1.000000000000000E+0
78.000000000000014E+0	1.000000000000000E+0
79.000000000000014E+0	1.000000000000000E+0
80.000000000000014E+0	1.000000000000000E+0
81.000000000000014E+0	999.999999999999890E-3
82.000000000000014E+0	1.000000000000000E+0
83.000000000000014E+0	999.999999999999560E-3
84.000000000000014E+0	999.999999999999560E-3
85.000000000000014E+0	1.000000000000000E+0
86.000000000000014E+0	1.000000000000000E+0
87.000000000000014E+0	1.000000000000000E+0
88.000000000000014E+0	999.999999999999780E-3
89.000000000000014E+0	1.000000000000000E+0
90.000000000000014E+0	999.999999999999670E-3
91.000000000000014E+0	999.999999999999670E-3
92.000000000000014E+0	999.999999999999890E-3
93.000000000000014E+0	1.000000000000000E+0
94.000000000000014E+0	1.000000000000000E+0
95.000000000000014E+0	999.999999999999560E-3
96.000000000000014E+0	1.000000000000000E+0
97.000000000000014E+0	1.000000000000000E+0
98.000000000000014E+0	999.999999999999890E-3
99.000000000000014E+0	1.000000000000000E+0
100.000000000000010E+0	999.999999999999890E-3
101.000000000000010E+0	1.000000000000000E+0
102.000000000000010E+0	1.000000000000001E+0
103.000000000000010E+0	1.000000000000000E+0
104.000000000000010E+0	999.999999999999780E-3
105.000000000000010E+0	999.999999999999890E-3
106.000000000000010E+0	999.999999999999890E-3
107.000000000000010E+0	1.000000000000000E+0
108.000000000000010E+0	1.000000000000000E+0
109.000000000000010E+0	1.000000000000000E+0
110.000000000000010E+0	999.999999999999890E-3
111.000000000000010E+0	999.999999999999780E-3
112.000000000000010E+0	1.000000000000000E+0
113.000000000000010E+0	999.999999999999440E-3
114.000000000000010E+0	999.999999999999780E-3
115.000000000000010E+0	999.999999999999670E-3
116.000000000000010E+0	1.000000000000000E+0
117.000000000000010E+0	1.000000000000000E+0
118.000000000000010E+0	1.000000000000000E+0
119.000000000000010E+0	999.999999999999890E-3
120.000000000000010E+0	999.999999999999560E-3
121.000000000000010E+0	1.000000000000000E+0
